age,gender,job,club,sport,band,game_hrs,GPA,siblings,friends,books,meals,iphone,songs,absent,romance,study,mother,father,parents,CARD
16,F,Y,Y,Y,N,1,4.671,3,1,3,1,Y,1,0,N,1,5,5,M,3
15,M,N,N,Y,Y,2,4.5,3,2,1,7,Y,1,1,N,2,4,5,M,2
16,M,Y,Y,Y,N,2,4.4,1,1,1,5,N,3,1,N,2,4,5,M,2
17,M,Y,Y,Y,N,3,4.6,2,1,1,15,N,1,1,N,1,5,5,M,3
16,M,N,Y,Y,Y,1,4.5,1,1,0,0,Y,1,0,N,1,5,5,M,1
16,M,N,Y,N,N,,3.747,1,2,,4,Y,1,,N,,5,4,M,1
15,M,N,N,N,Y,,4.3,1,3,2,,Y,1,1,N,,4,4,M,2
16,F,Y,Y,N,N,1,4.3,2,3,2,5,Y,1,2,N,2,4,4,M,3
17,F,Y,Y,Y,N,1,4.3,1,1,,2,Y,2,1,N,4,4,4,M,3
16,M,N,Y,N,Y,2,4.3,1,2,1,0,Y,1,1,N,2,4,5,M,1
16,M,Y,Y,Y,Y,1,4,3,2,2,8,N,4,1,N,2,4,5,M,1
17,F,N,Y,Y,Y,1,4.7,2,2,2,3,Y,2,1,N,5,5,5,M,3
16,M,N,Y,N,N,5,4.4,2,1,1,2,Y,1,1,N,1,4,5,M,1
17,M,N,N,Y,N,1,4.1,1,3,1,3,Y,3,1,N,1,3,3,M,3
18,M,Y,N,N,N,4,3.4,1,2,2,10,N,3,0,N,1,5,4,M,1
17,M,Y,Y,N,N,1,4.3,2,3,1,10,N,4,0,N,1,5,5,M,2
17,F,N,Y,N,Y,1,3.9,0,3,1,3,N,2,1,N,2,4,4,M,2
17,F,Y,Y,N,Y,1,,1,,1,1,Y,2,,N,4,5,5,M,2
15,F,N,Y,Y,Y,1,4.71,3,1,3,1,N,1,1,N,4,4,4,M,2
16,F,Y,Y,Y,N,2,4,1,2,1,6,Y,2,2,Y,4,4,4,D,2
17,F,Y,Y,Y,N,1,4.6,3,2,1,0,Y,1,1,N,3,4,5,M,2
18,M,Y,Y,N,Y,2,4.9,3,2,2,4,Y,1,3,N,4,4,3,M,1
16,F,N,Y,Y,N,1,4.7,2,2,2,0,N,2,1,N,4,5,3,M,2
18,M,N,Y,Y,N,2,4.4,1,2,3,5,Y,2,0,N,4,4,5,M,2
18,M,Y,Y,Y,N,1,3.969,3,2,1,3,Y,2,1,N,4,4,5,M,3
18,F,Y,Y,N,Y,1,4.1,1,1,2,4,Y,2,1,N,2,4,5,M,2
17,M,N,Y,N,N,4,4,1,3,1,0,N,1,1,N,2,4,4,C,1
17,M,Y,Y,Y,N,1,4.167,3,2,1,2,N,1,0,N,1,5,5,M,2
16,F,N,Y,Y,N,2,4.2,3,2,2,10,Y,1,1,Y,4,4,4,M,2
18,M,N,Y,Y,N,5,4.1,2,2,1,3,N,1,2,N,3,4,4,D,1
17,M,N,Y,N,Y,3,4.879,1,2,1,2,N,1,0,Y,5,5,5,M,1
17,M,N,Y,N,N,5,4.683,3,1,1,4,N,1,0,N,3,2,4,M,1
17,M,N,N,N,Y,1,3.8,7,2,2,6,Y,2,0,Y,2,4,5,C,2
18,M,Y,Y,Y,N,1,3.85,2,2,1,6,N,2,1,N,1,4,3,M,1
17,F,Y,N,N,Y,1,4.4,2,2,2,5,Y,2,0,Y,2,3,3,M,3
18,F,Y,Y,Y,N,1,3.9,2,3,3,3,N,3,1,N,3,5,4,M,3
17,M,N,Y,Y,N,2,4.78,2,2,1,3,Y,1,0,N,3,4,5,M,2
17,M,Y,Y,Y,N,4,4.2,4,2,1,6,N,2,0,N,4,4,5,C,1
17,M,N,Y,Y,Y,5,4.672,2,2,1,3,N,1,2,N,3,5,5,M,1
14,F,N,N,N,N,3,3.6,1,2,,,Y,4,3,N,4,4,4,M,2
15,F,Y,N,Y,N,1,,1,2,1,0,Y,,2,N,5,4,5,M,2
14,F,N,Y,N,N,1,3.1,2,2,3,2,Y,1,1,N,3,3,4,D,2
17,F,Y,Y,N,Y,1,,4,2,2,11,Y,4,6,Y,1,4,2,D,2
15,M,N,N,N,N,3,4.1,3,1,2,2,N,1,5,N,5,4,4,M,2
15,F,N,Y,N,N,1,3.7,2,2,2,3,Y,2,2,N,3,4,4,M,3
15,F,N,Y,Y,N,1,3.9,1,2,2,5,Y,3,2,N,5,5,5,M,2
14,F,N,N,N,N,1,2.1,4,1,1,1,Y,1,1,N,2,2,2,D,2
14,F,Y,Y,Y,N,1,2.5,1,4,1,6,Y,2,2,N,2,5,3,M,3
16,F,N,N,Y,N,1,3.6,2,1,1,0,Y,2,0,N,2,2,5,M,2
15,M,Y,Y,N,N,3,4.2,2,1,1,10,N,2,0,N,1,4,4,M,2
16,F,N,Y,Y,N,1,3.6,2,1,1,10,Y,2,1,Y,4,5,5,M,3
15,F,N,Y,Y,N,1,4.3,2,2,2,3,Y,2,1,Y,5,4,5,D,2
17,M,Y,N,N,N,3,3.3,2,1,1,4,Y,1,0,Y,5,4,,M,2
16,F,N,N,Y,N,1,3.7,1,1,1,0,Y,2,1,N,5,4,5,M,3
18,F,N,Y,N,N,1,4.5,1,2,1,15,Y,3,3,N,3,5,5,M,3
15,F,N,Y,Y,N,1,4.2,2,3,1,1,Y,2,0,N,3,5,5,M,3
16,F,,Y,N,N,1,3.8,3,2,2,10,Y,1,1,Y,4,4,5,M,3
16,F,Y,Y,N,N,1,4.167,2,2,1,5,Y,4,2,N,2,5,5,M,3
16,M,N,Y,N,N,1,4.5,1,1,1,3,Y,1,1,N,4,3,5,C,2
15,F,Y,Y,Y,N,1,4.117,2,3,2,5,Y,1,2,N,2,5,5,M,3
16,M,N,Y,Y,N,1,3.8,2,2,1,0,Y,,2,Y,,4,5,M,1
16,F,N,Y,Y,N,1,3.8,1,,1,,Y,,,N,,,,M,3
16,M,N,Y,N,N,1,3.3,1,2,1,8,N,2,2,Y,1,5,4,M,3
17,M,N,N,Y,N,2,3.4,1,5,1,7,Y,1,1,Y,2,4,5,M,1
18,M,N,N,N,N,2,4.6,2,1,2,0,N,1,1,N,1,4,5,M,2
18,M,N,Y,Y,N,1,4.45,3,,2,,Y,,,Y,3,5,5,M,3
17,M,Y,N,Y,N,3,4.25,1,2,2,1,Y,1,1,N,1,4,4,M,1
15,M,N,Y,Y,N,3,3.065,2,5,1,1,N,1,3,N,1,,,M,1
16,F,N,Y,Y,N,1,4.1,1,2,1,1,Y,2,1,N,2,4,4,M,3
16,F,Y,Y,Y,N,1,3.7,3,3,2,10,Y,2,10,N,3,5,5,M,2
16,M,N,Y,N,N,1,4,1,2,1,2,N,,0,N,3,4,2,M,1
17,F,Y,Y,Y,N,1,3.8,3,3,1,4,Y,2,2,Y,3,4,5,M,3
16,M,N,Y,Y,N,1,3.967,1,1,1,5,Y,2,0,N,5,5,4,M,1
18,M,Y,Y,Y,Y,1,4.41,2,2,1,1,Y,1,1,N,2,5,4,M,1
17,M,Y,N,Y,N,3,3.4,2,2,1,14,Y,4,5,N,2,4,4,M,3
17,M,Y,Y,Y,N,2,3.85,2,2,2,6,Y,4,0,N,2,4,4,M,1
